"","lon","lat"
"1197",-66.113591,18.35754
"1198",-66.007419,18.354444
"1201",-66.062536,17.963547
"1202",-65.87079,18.18304
"1203",-66.484723,18.430596
"1204",-66.825728,18.48661
"1207",-66.718798,18.471794
"1208",-67.14572,18.201142
"1212",-66.114278,17.98355
"1213",-67.145891,18.085649
"1214",-66.614628,18.012039
"1216",-66.593299,18.218671
"1217",-66.250749,18.389877
"1227",-66.276498,18.471875
"1228",-67.024355,18.501913
"1229",-65.828733,18.150582
"1233",-67.042108,18.08059
"1240",-66.057945,18.000799
"1241",-66.155724,18.39856
"1242",-66.492119,18.127182
"1243",-66.614059,18.011078
"1244",-66.0485,18.234121
"1245",-66.105721,18.466333
"1246",-81.38222,19.300127
"1247",-79.481478,9.070738
"1248",-79.500829,9.048573
"1249",-79.514265,9.072433
"1250",-79.517784,8.9936
"1251",-79.900489,9.358627
"1257",-80.285733,8.462185
"1258",-79.408507,9.090655
"1259",-79.290576,9.081502
"1260",-79.779289,8.789107
"1261",-79.6303,8.8825
"1267",-80.091133,9.027509
"1268",-80,9
"1269",-82.73333,8.716667
"1270",-80.283333,8.633333
"1271",-80.449997,8.6
"1272",-80.366669,8.516667
"1273",-80.650002,8.466667
"1274",-80.166664,8.383333
"1275",-80.566666,8.366667
"1276",-80.550003,8.25
"1277",-79.25,9.183333
"1278",-82.23333,8.5
"1279",-80.599998,8.43333
"1280",-61.752,12.016
"1281",-61.695,12.189
"1282",-61.693,12.133
"1283",-61.703,12.043
"1284",-61.671,12.042
"1285",-61.6392,12.2183
"1286",-61.7021,12.193
"1287",-61.625,12.123
"1288",-61.7431,12.0563
"1289",-61.7739,12.0006
"1299",-4.025917,5.33643
"1301",-3.983073,5.350274
"1304",-3.8676,6.09959
"1305",-7.569,9.51
"1306",-87.181377,13.303101
"1307",-87.026407,15.731485
"1308",-87.63,14.45
"1309",-87.8145,15.394108
"1310",-88.035622,15.498017
"1311",-87.4493,15.7798
"1313",-87.3664,13.599441
"1314",-88.11,14.08
"1316",-88.233118,15.134273
"1319",-87.954197,15.608158
"1320",-88.232803,14.924881
"1321",-87.990932,15.313989
"1324",-87.2596,14.169
"1327",-87.217194,14.060883
"1328",-87.029243,14.260473
"1330",-87.990723,15.474648
"1331",-86.5,15
"1332",-87.216667,14.133333
"1335",-87.01667,14.033333
"1336",-16.033,12.069
"1337",-10.744,10.039
"1338",-61.591036,10.690297
"1339",-61.583576,10.714249
"1340",-61.466367,10.650106
"1341",-61.466578,10.166644
"1342",-61.532518,10.674462
"1343",-61.383026,10.633362
"1344",-61.497499,10.658288
"1345",-61.518584,10.665486
"1347",-61.438751,10.736175
"1348",-61.232758,10.779348
"1349",-61.620026,10.709189
"1350",-61.46,10.28
"1356",-61.371,10.269
"1357",-61.296,10.202
"1358",-61.459158,10.247718
"1360",-61.418,10.232
"1361",-60.666672,11.25
"1362",-61.091114,10.604276
"1363",-61.416668,10.45
"1364",-61.307804,10.330744
"1365",-61.583332,10.083333
"1366",-61.434,10.269
"1367",-61.361629,10.551356
"1368",-61.383022,10.517159
"1369",-61.366,10.5299
"1370",-61.317,10.266
"1371",-61.3784,10.2681
"1372",-61.4043,10.5202
"1375",-61.334,10.5796
"1377",-58.157044,6.795535
"1378",-59.801166,3.37574
"1380",-59.5,3
"1381",-63.020831,18.08742
"1382",-63.030975,18.102415
"1385",-61.681738,15.989715
"1386",-61.263313,15.925016
"1387",-61.725646,15.998749
"1388",-63.036035,18.069452
"1389",-64.53,18.45
"1390",-155.986,20.752
"1392",-99.493,27.511
"1393",-99.510269,27.514361
"1394",-99.507545,27.506407
"1395",-81.779987,24.555059
"1396",-80.936996,25.313
"1397",-97.497,25.907
"1399",-97.409,27.766
"1400",-80.533112,25.61705
"1401",120.98,14.6
"1403",120.5501,15.1832
"1410",125.0736,7.9216
"1412",125.606503,7.105833
"1414",121.06812,14.701422
"1415",124.99752,11.244409
"1416",125.120316,8.129929
"1417",121.514168,18.398836
"1418",120.830154,16.505883
"1419",120.884514,15.361667
"1420",120.993404,14.444987
"1421",120.994821,14.704327
"1422",120.800056,15.39146
"1423",120.985197,14.642012
"1424",122.483211,10.880005
"1425",120.78,16.86
"1426",121.050493,14.516394
"1427",121.013446,14.696606
"1428",120.966124,14.621063
"1429",120.984743,14.674646
"1430",120.963063,14.690878
"1431",123.279247,9.296968
"1432",122.96093,10.644412
"1433",121.002975,14.590146
"1434",119.981575,16.16258
"1435",120.844059,15.501657
"1436",121.142263,15.629484
"1437",120.974178,15.484783
"1438",121.051111,15.602536
"1439",120.900021,15.267294
"1440",120.792217,15.455335
"1441",120.34,15.92
"1442",120.8723,14.2541
"1443",120.41,15.92
"1444",120.51,16.1
"1446",120.3103,15.9944
"1447",119.88248,16.38
"1448",121.556797,14.112937
"1449",123.98504,10.392682
"1450",120.72969,13.940065
"1451",121.002803,13.788571
"1452",120.813189,13.932901
"1453",121.050596,13.899576
"1454",121.133788,13.81962
"1455",120.878248,13.914406
"1456",121.163979,13.942064
"1457",121.238565,13.672843
"1458",121.110871,14.057659
"1459",121.113009,13.958974
"1460",120.6005,14.125922
"1461",121.215062,13.878996
"1462",121.20296,13.84483
"1463",121.034803,13.806742
"1464",120.92803,13.892911
"1465",121.148186,14.083301
"1466",121.18957,13.796823
"1467",120.729175,14.017524
"1470",123.822942,10.264249
"1471",123.654442,10.38787
"1472",123.903022,10.340842
"1473",123.885351,10.315785
"1474",121.036706,14.599365
"1475",120.608722,16.395784
"1476",120.605696,16.424045
"1477",120.588552,16.411037
"1478",122.497444,11.40061
"1479",122.769413,11.468921
"1480",122.932491,11.429552
"1481",122.666073,11.416428
"1482",122.527542,11.265959
"1483",122.738857,11.315114
"1484",122.685642,11.392196
"1485",122.616634,11.300301
"1486",122.682152,11.271346
"1487",122.682552,11.517032
"1488",122.781644,11.384287
"1489",122.595634,11.431571
"1490",122.587452,11.504585
"1491",122.83433,11.480193
"1492",120.961207,14.623306
"1493",123.200122,9.100105
"1494",123.173794,9.095974
"1495",123.187523,9.114978
"1496",123.537025,10.120302
"1497",125.640221,7.224206
"1498",123.635216,10.09867
"1499",124.018636,10.593796
"1500",124.012291,10.720827
"1501",123.942833,10.439871
"1502",124.025917,11.249123
"1503",125.447273,7.278698
"1504",124.000151,10.458181
"1505",125.470505,6.976865
"1506",123.848762,10.725381
"1507",122.118688,6.957525
"1508",122.142684,6.952371
"1509",122.001346,6.934479
"1510",122.10989,6.907341
"1511",122.091812,6.932327
"1512",122.04149,6.921357
"1513",122.081101,6.902399
"1514",123.140144,11.568162
"1515",120.391502,17.592976
"1516",120.50005,17.333597
"1517",120.400858,17.536023
"1518",120.696913,15.029893
"1519",120.401802,17.622427
"1520",120.519962,17.270006
"1521",120.427294,17.68736
"1522",120.440254,17.497389
"1523",120.450954,16.934646
"1524",125.582285,7.101574
"1525",125.559454,7.049786
"1526",120.383949,17.569411
"1528",123.7894,10.243
"1530",122.9675,10.7382
"1531",123.750572,10.219653
"1532",121.091795,14.554841
"1533",121.015513,14.555796
"1535",123.514466,9.214034
"1536",125.283737,6.085936
"1537",120.052986,15.158299
"1538",120.195572,14.94777
"1539",120.810939,15.779183
"1541",120.963246,14.616184
"1543",122.524666,10.684886
